Customer Type,Gender,Product Category,Unit Price,Quantity,Total,Date,Time,Payment,Discount,Rating
Member,Female,Snack,28000,9,45000,5/1/2024,8:03,Qris,10,5
Regular,Female,Dairy Product,42000,7,13000,5/1/2024,8:04,Cash,10,5
Regular,Male,Instant Food,3400,2,53200,5/1/2024,8:05,Card,0,3
Member,Female,Beverages,17800,8,70400,5/1/2024,8:06,Transfer,15,6
Regular,Female,Vegetables,17600,11,15600,5/1/2024,8:07,Cash,5,4
Regular,Male,Meat,87900,10,82500,5/1/2024,8:08,Cash,10,5
Member,Male,Dessert,8600,8,111600,5/1/2024,8:09,Card,20,8
Regular,Female,Bakery,43000,1,50400,5/1/2024,8:10,Cash,10,5
Member,Male,Fruits,12300,10,30000,5/1/2024,8:11,Qris,20,8
Regular,Female,Seafood,49400,1,102000,5/1/2024,8:12,Cash,20,7
Regular,Male,Dairy Product,32800,7,116000,5/1/2024,8:13,Card,10,6
Member,Female,Snack,7700,9,31000,5/1/2024,8:14,Transfer,20,7
Regular,Male,Kitchen Consumption,6500,4,38400,5/1/2024,8:15,Cash,5,5
Member,Male,Bakery,12000,9,55800,5/1/2024,8:16,Card,15,5
Regular,Female,Snack,12000,14,8600,5/1/2024,8:17,Cash,20,8
Regular,Male,Fruits,4000,8,99000,5/1/2024,8:18,Cash,15,5
Member,Female,Seafood,129300,14,76500,5/1/2024,8:19,Card,20,7
Regular,Male,Vegetables,11700,14,30400,5/1/2024,8:20,Cash,15,5
Regular,Female,Instant Food,9800,9,71000,5/1/2024,8:21,Transfer,10,5
Member,Male,Beverages,14500,12,120000,5/1/2024,8:22,Cash,15,6
Member,Female,Dessert,17000,3,196000,5/1/2024,8:23,Qris,0,5
Regular,Male,Bakery,24800,8,26100,5/1/2024,8:24,Card,15,6
Regular,Female,Fruits,9500,8,30800,5/1/2024,8:25,Cash,15,6
Regular,Female,Seafood,88700,8,37600,5/1/2024,8:26,Transfer,10,5
Regular,Male,Dairy Product,23300,13,72000,5/1/2024,8:12,Card,30,9
Regular,Female,Bakery,7900,7,31600,5/1/2024,8:25,Cash,10,5
Member,Female,Instant Food,15800,8,144000,5/1/2024,8:36,Transfer,15,6
Regular,Male,Seafood,90900,12,178800,5/1/2024,8:47,Card,30,9
Member,Male,Fruits,8900,14,157500,5/1/2024,9:02,Cash,15,6
Regular,Female,Snack,7700,1,22500,5/1/2024,9:15,Cash,15,6
Regular,Male,Bakery,22300,2,49600,5/1/2024,9:28,Card,15,6
Member,Female,Dairy Product,31300,12,22000,5/1/2024,9:39,Transfer,15,5
Regular,Male,Vegetables,15200,9,39000,5/1/2024,9:52,Cash,10,6
Regular,Male,Seafood,41200,1,42000,5/1/2024,10:05,Cash,10,5
Member,Male,Bakery,7900,7,32400,5/1/2024,10:18,Card,15,6
Regular,Female,Instant Food,7350,7,198000,5/1/2024,10:31,Cash,5,5
Regular,Female,Seafood,41200,8,186000,5/1/2024,10:44,Transfer,10,6
Member,Female,Fruits,9500,2,278000,5/1/2024,10:57,Card,30,9
Regular,Male,Beverages,14500,12,32200,5/1/2024,11:10,Cash,10,6
Member,Male,Kitchen Consumption,13100,9,109000,5/1/2024,11:23,Transfer,15,6
Regular,Female,Dairy Product,42000,4,112500,5/1/2024,11:36,Cash,0,4
Regular,Male,Bakery,12000,10,54400,5/1/2024,11:49,Card,20,8
Member,Female,Snack,7900,2,13000,5/1/2024,12:02,Transfer,5,5
Regular,Male,Fruits,7500,8,88500,5/1/2024,12:15,Cash,10,5
Regular,Female,Instant Food,3400,12,336000,5/1/2024,12:28,Cash,15,6
Member,Male,Seafood,88700,6,372000,5/1/2024,12:41,Card,10,5
Regular,Female,Vegetables,29700,7,62000,5/1/2024,12:54,Cash,10,5
Regular,Female,Beverages,8700,8,144000,5/1/2024,13:07,Transfer,10,6
Member,Male,Snack,9000,13,99000,5/1/2024,13:20,Cash,20,8
Regular,Female,Dairy Product,34000,14,134400,5/1/2024,13:33,Card,30,9
Regular,Male,Bakery,13200,13,37100,5/1/2024,13:46,Cash,15,6
Regular,Female,Fruits,8400,8,60000,5/2/2024,8:01,Cash,15,6
Member,Male,Dairy Product,24300,12,54000,5/2/2024,8:12,Qris,15,5
Regular,Female,Beverages,8300,9,91000,5/2/2024,8:23,Card,15,5
Member,Male,Snack,7900,3,99000,5/2/2024,8:34,Transfer,10,5
Regular,Female,Kitchen Consumption,13400,10,42000,5/2/2024,8:45,Cash,30,9
Member,Male,Dessert,8700,13,40000,5/2/2024,8:56,Qris,5,5
Regular,Female,Seafood,88700,13,88000,5/2/2024,9:07,Card,15,6
Member,Male,Instant Food,6500,13,96000,5/2/2024,9:18,Cash,15,6
Regular,Female,Fruits,4000,10,84000,5/2/2024,9:29,Transfer,15,6
Member,Male,Dairy Product,22300,2,44000,5/2/2024,9:40,Qris,10,6
Regular,Female,Bakery,12000,12,63000,5/2/2024,9:51,Card,15,5
Member,Male,Snack,8300,11,48000,5/2/2024,10:02,Transfer,20,8
Regular,Female,Kitchen Consumption,13400,1,85000,5/2/2024,10:13,Cash,0,4
Member,Male,Dessert,8600,10,60000,5/2/2024,10:24,Qris,10,6
Regular,Female,Seafood,88700,13,152000,5/2/2024,10:35,Card,20,8
Member,Male,Instant Food,3400,5,70000,5/2/2024,10:46,Cash,10,6
Regular,Female,Fruits,9600,8,78000,5/2/2024,10:57,Transfer,30,9
Member,Male,Dairy Product,32800,10,90000,5/2/2024,11:08,Qris,10,5
Regular,Female,Bakery,21400,14,32000,5/2/2024,11:19,Card,15,6
Member,Male,Snack,23000,11,88000,5/2/2024,11:30,Transfer,30,9
Regular,Female,Kitchen Consumption,13400,10,72000,5/2/2024,11:41,Cash,10,5
Member,Male,Dessert,12300,9,50000,5/2/2024,11:52,Qris,10,6
Regular,Female,Seafood,41900,10,102000,5/2/2024,12:03,Card,15,6
Member,Male,Instant Food,6500,4,91000,5/2/2024,12:14,Cash,5,3
Regular,Female,Fruits,7500,10,72000,5/2/2024,12:25,Transfer,15,6
Member,Male,Dairy Product,43700,9,66000,5/2/2024,12:36,Qris,15,6
Regular,Female,Bakery,12100,13,56000,5/2/2024,12:47,Card,30,9
Member,Male,Snack,7600,7,135000,5/2/2024,12:58,Transfer,5,5
Regular,Female,Kitchen Consumption,13100,2,55000,5/2/2024,13:09,Cash,10,5
Member,Male,Dessert,12300,14,63000,5/2/2024,13:20,Qris,20,8
Regular,Female,Seafood,67800,14,120000,5/2/2024,13:31,Card,5,5
Member,Male,Instant Food,10300,6,80000,5/2/2024,13:42,Cash,5,5
Regular,Female,Fruits,12300,10,70000,5/2/2024,13:53,Transfer,10,5
Member,Male,Dairy Product,23300,8,104000,5/2/2024,14:04,Qris,10,5
Regular,Female,Bakery,7900,8,42000,5/2/2024,14:15,Card,10,6
Member,Male,Snack,7600,12,96000,5/2/2024,14:26,Transfer,15,5
Regular,Female,Kitchen Consumption,21300,13,102000,5/2/2024,14:37,Cash,10,6
Member,Male,Dessert,8700,4,44000,5/2/2024,14:48,Qris,10,6
Regular,Female,Seafood,41200,9,90000,5/2/2024,14:59,Card,10,6
Member,Male,Instant Food,9800,12,84000,5/2/2024,15:10,Cash,30,9
Regular,Female,Fruits,9600,5,72000,5/2/2024,15:21,Transfer,0,5
Member,Male,Dairy Product,25800,1,60000,5/2/2024,15:32,Qris,5,3
Regular,Female,Bakery,22300,6,48000,5/2/2024,15:43,Card,0,5
Member,Male,Snack,7600,8,70000,5/2/2024,15:54,Transfer,10,6
Regular,Female,Kitchen Consumption,10200,9,96000,5/2/2024,16:05,Cash,30,9
Member,Male,Dessert,19000,11,72000,5/2/2024,16:16,Qris,15,6
Regular,Female,Seafood,41200,9,95000,5/2/2024,16:27,Card,10,5
Member,Male,Instant Food,6500,2,68000,5/2/2024,16:38,Cash,30,9
Regular,Female,Fruits,7500,11,99000,5/2/2024,16:49,Transfer,10,6
Member,Male,Dairy Product,31300,9,60000,5/2/2024,17:00,Qris,10,5
Regular,Female,Bakery,12000,12,35000,5/2/2024,17:11,Card,15,6
Member,Male,Snack,28000,1,104000,5/2/2024,17:22,Transfer,5,5
Regular,Female,Kitchen Consumption,29200,9,54000,5/2/2024,17:33,Cash,10,6
Member,Male,Dessert,8700,14,75000,5/2/2024,17:44,Qris,30,10
Regular,Female,Seafood,41200,14,80000,5/2/2024,17:55,Card,15,6
Member,Male,Instant Food,37900,1,98000,5/2/2024,18:06,Cash,5,3
Regular,Female,Fruits,12300,12,80000,5/2/2024,18:17,Transfer,15,6
Member,Male,Dairy Product,32800,8,81000,5/2/2024,18:28,Qris,20,8
Regular,Female,Bakery,9800,12,40000,5/2/2024,18:39,Card,15,6
Member,Male,Snack,12000,12,72000,5/2/2024,18:50,Transfer,15,5
Regular,Female,Kitchen Consumption,6500,4,78000,5/2/2024,19:01,Cash,0,5
Member,Male,Dessert,17000,1,36000,5/2/2024,19:12,Qris,30,9
Regular,Female,Seafood,69800,11,100000,5/2/2024,19:23,Card,30,9
Member,Male,Instant Food,10200,1,84000,5/2/2024,19:34,Cash,15,6
Regular,Female,Fruits,8900,9,96000,5/2/2024,19:45,Transfer,10,6
Member,Male,Dairy Product,25800,13,55000,5/2/2024,19:56,Qris,15,6
Regular,Female,Bakery,12000,2,63000,5/2/2024,20:07,Card,10,6
Member,Male,Snack,7900,9,90000,5/2/2024,20:18,Transfer,30,9
Regular,Female,Kitchen Consumption,2200,8,88000,5/2/2024,20:29,Cash,10,5
Member,Male,Dessert,8600,4,63000,5/2/2024,20:40,Qris,5,5
Regular,Female,Seafood,41200,9,90000,5/2/2024,20:51,Card,20,7
Member,Male,Instant Food,7100,9,90000,5/2/2024,21:02,Cash,15,6
Regular,Female,Fruits,8900,12,91000,5/2/2024,21:13,Transfer,20,7
Member,Male,Dairy Product,32800,11,80000,5/2/2024,21:24,Qris,5,5
Regular,Female,Bakery,13200,4,40000,5/2/2024,21:35,Card,20,8
Member,Male,Snack,28000,11,84000,5/2/2024,21:46,Transfer,5,5
Regular,Female,Kitchen Consumption,6500,10,54000,5/2/2024,21:57,Cash,10,5
Member,Male,Dessert,8700,1,70000,5/2/2024,22:08,Qris,5,3
Regular,Female,Seafood,88700,12,80000,5/2/2024,22:19,Card,15,6
Member,Male,Instant Food,37900,1,98000,5/2/2024,22:30,Cash,5,5
Regular,Female,Fruits,8400,13,80000,5/2/2024,22:41,Transfer,30,10
Member,Male,Dairy Product,34000,9,54000,5/2/2024,22:52,Qris,10,6
Member,Male,Snack,9000,11,90000,5/3/2024,8:02,Transfer,5,5
Regular,Female,Kitchen Consumption,24000,6,88000,5/3/2024,8:13,Cash,30,9
Member,Male,Dessert,8600,13,63000,5/3/2024,8:24,Qris,15,6
Regular,Female,Seafood,69800,13,90000,5/3/2024,8:35,Card,30,10
Member,Male,Instant Food,37900,2,90000,5/3/2024,8:46,Cash,0,4
Regular,Female,Fruits,8400,13,91000,5/3/2024,8:57,Transfer,10,5
Member,Male,Dairy Product,22300,11,80000,5/3/2024,9:08,Qris,15,5
Regular,Female,Bakery,8000,4,40000,5/3/2024,9:19,Card,0,5
Member,Male,Snack,28000,8,84000,5/3/2024,9:30,Transfer,10,6
Regular,Female,Kitchen Consumption,10200,11,54000,5/3/2024,9:41,Cash,15,6
Member,Male,Dessert,14400,8,70000,5/3/2024,9:52,Qris,10,6
Regular,Female,Seafood,44000,12,72000,5/3/2024,10:03,Card,15,5
Member,Male,Instant Food,3400,8,105000,5/3/2024,10:14,Cash,10,5
Regular,Female,Fruits,6300,11,88000,5/3/2024,10:25,Transfer,15,6
Member,Male,Dairy Product,43700,12,50000,5/3/2024,10:36,Qris,30,10
Regular,Female,Bakery,7900,14,72000,5/3/2024,10:47,Card,30,9
Member,Male,Snack,12000,9,84000,5/3/2024,10:58,Transfer,20,7
Regular,Female,Kitchen Consumption,13400,6,54000,5/3/2024,11:09,Cash,0,5
Member,Male,Dessert,12300,13,70000,5/3/2024,11:20,Qris,20,8
Regular,Female,Seafood,44000,7,68000,5/3/2024,11:31,Card,10,5
Member,Male,Instant Food,7350,11,91000,5/3/2024,11:42,Cash,10,6
Regular,Female,Fruits,8900,11,96000,5/3/2024,11:53,Transfer,15,5
Member,Male,Dairy Product,21200,5,50000,5/3/2024,12:04,Qris,5,5
Regular,Female,Bakery,9800,3,63000,5/3/2024,12:15,Card,0,4
Member,Male,Snack,28000,12,90000,5/3/2024,12:26,Transfer,10,6
Regular,Female,Kitchen Consumption,6500,11,54000,5/3/2024,12:37,Cash,10,6
Member,Male,Dessert,8700,9,63000,5/3/2024,12:48,Qris,15,5
Regular,Female,Seafood,88700,7,90000,5/3/2024,12:59,Card,15,5
Member,Male,Instant Food,15800,13,84000,5/3/2024,13:10,Cash,10,5
Regular,Female,Fruits,10000,9,91000,5/3/2024,13:21,Transfer,10,6
Member,Male,Dairy Product,31300,11,88000,5/3/2024,13:32,Qris,15,5
Regular,Female,Bakery,12000,5,40000,5/3/2024,13:43,Card,0,5
Member,Male,Snack,7900,10,108000,5/3/2024,13:54,Transfer,30,9
Regular,Female,Kitchen Consumption,29200,6,78000,5/3/2024,14:05,Cash,20,8
Member,Male,Dessert,21000,9,98000,5/3/2024,14:16,Qris,10,6
Regular,Female,Seafood,41200,13,90000,5/3/2024,14:27,Card,30,9
Member,Male,Instant Food,3400,10,72000,5/3/2024,14:38,Cash,20,8
Regular,Female,Fruits,9600,8,91000,5/3/2024,14:49,Transfer,10,6
Member,Male,Dairy Product,32800,1,72000,5/3/2024,15:00,Qris,5,4
Regular,Female,Bakery,21400,6,63000,5/3/2024,15:11,Card,0,3
Member,Male,Snack,23000,12,90000,5/3/2024,15:22,Transfer,20,7
Regular,Female,Kitchen Consumption,6500,3,60000,5/3/2024,15:33,Cash,0,4
Member,Male,Dessert,11000,12,63000,5/3/2024,15:44,Qris,15,6
Regular,Female,Seafood,90900,8,85000,5/3/2024,15:55,Card,20,7
Member,Male,Instant Food,3400,13,90000,5/3/2024,16:06,Cash,30,9
Regular,Female,Fruits,13100,12,88000,5/3/2024,16:17,Transfer,20,7
Member,Male,Dairy Product,43700,13,50000,5/3/2024,16:28,Qris,15,6
Regular,Female,Bakery,7900,12,72000,5/3/2024,16:39,Card,15,5
Member,Male,Snack,7900,13,72000,5/3/2024,16:50,Transfer,15,5
Regular,Female,Kitchen Consumption,24000,4,66000,5/3/2024,17:01,Cash,10,6
Member,Male,Dessert,17000,13,45000,5/3/2024,17:12,Qris,30,9
Regular,Female,Seafood,69800,9,68000,5/3/2024,17:23,Card,10,5
Member,Male,Instant Food,37900,8,91000,5/3/2024,17:34,Cash,10,6
Regular,Female,Fruits,13100,13,96000,5/3/2024,17:45,Transfer,30,9
Member,Male,Dairy Product,34000,5,72000,5/3/2024,17:56,Qris,10,5
Regular,Female,Bakery,12000,13,40000,5/3/2024,18:07,Card,15,6
Member,Male,Snack,7900,8,84000,5/3/2024,18:18,Transfer,30,9
Regular,Female,Kitchen Consumption,21300,12,54000,5/3/2024,18:29,Cash,30,9
Member,Male,Dessert,17000,8,70000,5/3/2024,18:40,Qris,10,6
Regular,Female,Seafood,90900,13,72000,5/3/2024,18:51,Card,30,9
Member,Male,Instant Food,9800,8,72000,5/3/2024,19:02,Cash,10,5
Regular,Female,Fruits,9600,3,91000,5/3/2024,19:13,Transfer,10,5
Member,Male,Dairy Product,34000,9,72000,5/3/2024,19:24,Qris,10,5
Regular,Female,Bakery,22300,10,63000,5/3/2024,19:35,Card,20,8
Member,Male,Snack,12000,8,90000,5/3/2024,19:46,Transfer,30,9
Regular,Female,Kitchen Consumption,9300,3,54000,5/3/2024,19:57,Cash,5,5
Member,Male,Dessert,7400,7,63000,5/3/2024,20:08,Qris,10,6
Regular,Female,Seafood,88700,11,85000,5/3/2024,20:19,Card,30,9
Member,Male,Instant Food,10200,11,78000,5/3/2024,20:30,Cash,30,9
Regular,Female,Fruits,10000,12,96000,5/3/2024,20:41,Transfer,15,5
Member,Male,Dairy Product,21200,9,72000,5/3/2024,20:52,Qris,10,6
Regular,Female,Bakery,13200,14,63000,5/3/2024,21:03,Card,30,10
Member,Male,Snack,12000,1,72000,5/3/2024,21:14,Transfer,5,5
Regular,Female,Kitchen Consumption,9800,14,60000,5/3/2024,21:25,Cash,15,6
Member,Male,Dessert,11000,9,98000,5/3/2024,21:36,Qris,15,5
Regular,Female,Seafood,41900,6,85000,5/3/2024,21:47,Card,15,6
Member,Male,Instant Food,10300,14,91000,5/3/2024,21:58,Cash,10,6
Regular,Female,Fruits,8900,6,96000,5/3/2024,22:09,Transfer,10,6
Member,Male,Dairy Product,43700,8,50000,5/3/2024,22:20,Qris,15,5
Regular,Female,Bakery,8000,14,72000,5/3/2024,22:31,Card,15,6
Member,Male,Snack,7000,8,84000,5/3/2024,22:42,Transfer,20,8
Regular,Female,Kitchen Consumption,10200,11,54000,5/3/2024,22:53,Cash,15,6
Member,Male,Dessert,11000,2,63000,5/3/2024,23:04,Qris,0,3
Regular,Female,Seafood,80700,8,68000,5/3/2024,23:15,Card,10,6
Member,Male,Instant Food,37900,10,84000,5/3/2024,23:26,Cash,10,5
Regular,Female,Fruits,9500,11,91000,5/3/2024,23:37,Transfer,15,5
Member,Male,Dairy Product,43700,13,80000,5/3/2024,23:48,Qris,15,6
Regular,Female,Bakery,12100,5,63000,5/3/2024,23:59,Card,0,5
Regular,Male,Fruits,13100,10,78000,5/4/2024,8:03,Cash,10,5
Member,Female,Kitchen Consumption,13100,12,88000,5/4/2024,8:14,Card,30,9
Regular,Male,Seafood,67800,12,108000,5/4/2024,8:25,Qris,15,6
Member,Female,Dairy Product,43700,2,45000,5/4/2024,8:36,Transfer,10,5
Regular,Male,Bakery,8000,12,64000,5/4/2024,8:47,Cash,5,5
Member,Female,Snack,7000,7,135000,5/4/2024,8:58,Card,10,6
Regular,Male,Fruits,12300,9,72000,5/4/2024,9:09,Qris,10,5
Member,Female,Kitchen Consumption,9800,9,77000,5/4/2024,9:20,Transfer,20,7
Regular,Male,Seafood,129300,14,153000,5/4/2024,9:31,Cash,20,7
Member,Female,Dairy Product,43700,10,66000,5/4/2024,9:42,Card,15,6
Regular,Male,Bakery,7900,13,42000,5/4/2024,9:53,Qris,15,6
Member,Female,Snack,8300,2,96000,5/4/2024,10:04,Transfer,5,5
Regular,Male,Fruits,9500,13,78000,5/4/2024,10:15,Cash,10,6
Member,Female,Kitchen Consumption,9800,13,66000,5/4/2024,10:26,Card,15,5
Regular,Male,Seafood,41900,13,90000,5/4/2024,10:37,Qris,5,5
Member,Female,Dairy Product,21200,8,72000,5/4/2024,10:48,Transfer,30,10
Regular,Male,Bakery,21400,2,56000,5/4/2024,10:59,Cash,5,4
Member,Female,Snack,23000,1,90000,5/4/2024,11:10,Card,0,4
Regular,Male,Fruits,4000,10,96000,5/4/2024,11:21,Qris,15,5
Member,Female,Kitchen Consumption,13400,6,66000,5/4/2024,11:32,Transfer,10,5
Regular,Male,Seafood,41200,1,85000,5/4/2024,11:43,Cash,10,6
Member,Female,Dairy Product,24300,10,88000,5/4/2024,11:54,Card,15,6
Regular,Male,Bakery,22300,4,49000,5/4/2024,12:05,Qris,5,4
Member,Female,Snack,7000,11,96000,5/4/2024,12:16,Transfer,10,5
Regular,Male,Fruits,7500,8,65000,5/4/2024,12:27,Cash,10,5
Member,Female,Kitchen Consumption,9300,12,77000,5/4/2024,12:38,Card,10,5
Regular,Male,Seafood,69800,14,108000,5/4/2024,12:49,Qris,30,9
Member,Female,Dairy Product,31300,6,45000,5/4/2024,13:00,Transfer,0,4
Regular,Male,Bakery,12100,1,48000,5/4/2024,13:11,Cash,5,5
Member,Female,Snack,23000,12,60000,5/4/2024,13:22,Card,15,5
Regular,Male,Fruits,10000,9,72000,5/4/2024,13:33,Qris,15,5
Member,Female,Kitchen Consumption,9300,11,99000,5/4/2024,13:44,Transfer,30,9
Regular,Male,Seafood,44000,2,119000,5/4/2024,13:55,Cash,10,6
Regular,Female,Bakery,22300,8,40000,5/4/2024,14:03,Card,20,8
Member,Male,Snack,12000,12,112000,5/4/2024,14:14,Transfer,20,8
Regular,Female,Kitchen Consumption,24000,2,90000,5/4/2024,14:25,Cash,0,3
Member,Male,Dessert,12300,11,63000,5/4/2024,14:36,Qris,15,6
Regular,Female,Seafood,41200,12,85000,5/4/2024,14:47,Card,30,9
Member,Male,Instant Food,6500,12,72000,5/4/2024,14:58,Cash,10,5
Regular,Female,Fruits,9600,8,80000,5/4/2024,15:09,Transfer,20,7
Member,Male,Dairy Product,32800,9,55000,5/4/2024,15:20,Qris,10,6
Regular,Female,Bakery,13200,10,63000,5/4/2024,15:31,Card,15,6
Member,Male,Snack,8300,9,90000,5/4/2024,15:42,Transfer,15,5
Regular,Female,Kitchen Consumption,9300,4,54000,5/4/2024,15:49,Cash,15,6
Member,Male,Dessert,8700,13,70000,5/4/2024,16:00,Qris,20,8
Regular,Female,Seafood,88700,8,72000,5/4/2024,16:11,Card,30,9
Member,Male,Instant Food,10200,6,105000,5/4/2024,16:22,Cash,15,5
Regular,Female,Fruits,12300,10,88000,5/4/2024,16:33,Transfer,10,5
Member,Male,Dairy Product,42000,13,50000,5/4/2024,16:44,Qris,30,9
Regular,Female,Bakery,12000,13,72000,5/4/2024,16:55,Card,15,6
Member,Male,Snack,8300,10,84000,5/4/2024,17:06,Transfer,20,7
Regular,Female,Kitchen Consumption,13100,1,78000,5/4/2024,17:17,Cash,10,6
Member,Male,Dessert,19000,13,63000,5/4/2024,17:28,Qris,15,5
Regular,Female,Seafood,88700,6,85000,5/4/2024,17:39,Card,0,3
Member,Male,Instant Food,10300,11,72000,5/4/2024,17:50,Cash,5,3
Regular,Female,Fruits,7500,11,88000,5/4/2024,18:01,Transfer,30,9
Member,Male,Dairy Product,42000,1,65000,5/4/2024,18:12,Qris,20,8
Regular,Female,Bakery,22300,8,72000,5/4/2024,18:23,Card,10,6
Member,Male,Snack,9000,13,72000,5/4/2024,18:34,Transfer,15,5
Regular,Female,Kitchen Consumption,10200,10,66000,5/4/2024,18:45,Cash,10,5
Member,Male,Dessert,8700,14,45000,5/4/2024,18:56,Qris,15,5
Regular,Female,Seafood,41900,14,72000,5/4/2024,19:07,Card,15,6
Member,Male,Instant Food,6500,14,84000,5/4/2024,19:18,Cash,30,9
Regular,Female,Fruits,13100,5,96000,5/4/2024,19:29,Transfer,10,6
Member,Male,Dairy Product,23300,6,55000,5/4/2024,19:40,Qris,5,4
Regular,Female,Bakery,22300,10,63000,5/4/2024,19:51,Card,10,5
Regular,Female,Kitchen Consumption,29200,10,88000,5/4/2024,19:53,Cash,15,5
Member,Male,Dessert,12300,12,63000,5/4/2024,20:04,Qris,20,8
Regular,Female,Seafood,80700,14,90000,5/4/2024,20:15,Card,30,9
Member,Male,Instant Food,7350,12,78000,5/4/2024,20:26,Cash,15,6
Regular,Female,Fruits,13100,9,88000,5/4/2024,20:37,Transfer,15,6
Member,Male,Dairy Product,42000,9,60000,5/4/2024,20:48,Qris,10,6
Regular,Female,Bakery,24800,13,72000,5/4/2024,20:59,Card,30,10
Member,Male,Snack,12000,3,104000,5/4/2024,21:10,Transfer,10,6
Regular,Female,Kitchen Consumption,10200,12,84000,5/4/2024,21:21,Cash,10,6
Member,Male,Dessert,7400,2,63000,5/4/2024,21:32,Qris,20,7
Regular,Female,Seafood,67800,1,68000,5/4/2024,21:43,Card,5,5
Member,Male,Instant Food,10200,9,78000,5/4/2024,21:54,Cash,15,6
Regular,Female,Fruits,10000,1,72000,5/4/2024,22:05,Transfer,5,5
Member,Male,Dairy Product,31300,8,60000,5/4/2024,22:16,Qris,10,6
Regular,Female,Bakery,22300,9,35000,5/4/2024,22:27,Card,15,6
Member,Male,Snack,8300,7,84000,5/4/2024,22:38,Transfer,10,5
Member,Male,Beverages,17800,9,75000,5/5/2024,9:05,Card,10,5
Regular,Female,Dairy Product,22300,8,26000,5/5/2024,9:18,Cash,10,6
Member,Male,Fruits,10000,14,72000,5/5/2024,9:35,Qris,5,4
Member,Female,Vegetables,29700,8,100000,5/5/2024,9:48,Transfer,30,9
Regular,Male,Seafood,49400,13,180000,5/5/2024,10:05,Card,20,8
Member,Female,Instant Food,6900,10,63000,5/5/2024,10:15,Cash,20,7
Regular,Male,Snack,9000,9,50000,5/5/2024,10:32,Qris,15,5
Member,Female,Bakery,13200,9,36000,5/5/2024,10:45,Transfer,10,6
Regular,Male,Kitchen Consumption,9800,1,153000,5/5/2024,10:58,Card,5,5
Member,Female,Dessert,11000,10,66000,5/5/2024,11:10,Qris,15,6
Member,Male,Dairy Product,43700,10,15000,5/5/2024,11:22,Transfer,10,5
Regular,Female,Beverages,17800,3,120000,5/5/2024,11:35,Cash,10,5
Regular,Male,Fruits,7500,6,60000,5/5/2024,11:48,Card,0,5
Member,Female,Vegetables,30700,9,50000,5/5/2024,12:05,Qris,10,6
Member,Male,Seafood,67800,12,108000,5/5/2024,12:15,Transfer,15,6
Regular,Female,Instant Food,10200,10,77000,5/5/2024,12:28,Cash,10,6
Member,Male,Snack,12000,11,104000,5/5/2024,12:45,Card,5,4
Regular,Female,Bakery,43000,4,70000,5/5/2024,13:02,Qris,15,5
Member,Male,Kitchen Consumption,2200,13,72000,5/5/2024,13:15,Transfer,30,9
Regular,Female,Dessert,12300,13,60000,5/5/2024,13:28,Card,15,6
Member,Male,Dairy Product,23300,1,81000,5/5/2024,13:35,Qris,0,5
Member,Female,Beverages,12000,12,160000,5/5/2024,13:48,Transfer,20,8
Regular,Male,Fruits,8400,10,56000,5/5/2024,14:05,Cash,10,6
Regular,Female,Vegetables,15200,2,90000,5/5/2024,14:18,Card,20,8
Member,Male,Seafood,129300,9,88000,5/5/2024,14:28,Qris,10,5
Regular,Female,Instant Food,37900,10,85000,5/5/2024,14:45,Transfer,10,5
Member,Male,Snack,8300,11,150000,5/5/2024,15:02,Cash,15,5
Regular,Female,Bakery,22300,8,105000,5/5/2024,15:18,Card,10,5
Member,Male,Kitchen Consumption,29200,10,104000,5/5/2024,15:35,Qris,10,5
Member,Female,Dessert,7400,8,105000,5/5/2024,15:50,Transfer,15,6
Regular,Male,Dairy Product,42000,6,110000,5/5/2024,16:05,Cash,5,5
Member,Female,Beverages,8700,1,48000,5/5/2024,16:18,Card,5,4
Regular,Male,Fruits,6300,8,150000,5/5/2024,16:35,Qris,30,9
Member,Female,Vegetables,16900,9,133000,5/5/2024,16:50,Transfer,20,8
Regular,Male,Seafood,90900,11,135000,5/5/2024,17:05,Cash,15,5
Member,Female,Instant Food,7100,2,112000,5/5/2024,17:18,Card,10,6
Member,Male,Snack,7600,9,108000,5/5/2024,17:32,Qris,15,6
Regular,Female,Bakery,7900,13,120000,5/5/2024,17:48,Transfer,30,9
Regular,Male,Kitchen Consumption,2200,9,63000,5/5/2024,18:05,Cash,20,7
Member,Female,Dessert,9300,10,36000,5/5/2024,18:15,Card,30,9
Member,Male,Dairy Product,23300,2,17000,5/5/2024,18:28,Qris,10,5
Regular,Female,Beverages,6800,1,182000,5/5/2024,18:45,Transfer,20,7
Member,Male,Fruits,7500,11,200000,5/5/2024,19:05,Cash,15,6
Member,Female,Vegetables,29700,8,90000,5/5/2024,19:18,Card,10,5
Regular,Male,Seafood,69800,13,120000,5/5/2024,19:35,Qris,15,5
Member,Female,Instant Food,37900,14,125000,5/5/2024,19:50,Transfer,30,9
Regular,Male,Snack,7600,10,66000,5/5/2024,20:05,Cash,15,5
Member,Female,Bakery,7900,11,36000,5/5/2024,20:15,Card,10,6
Regular,Male,Kitchen Consumption,29200,12,88000,5/5/2024,20:32,Qris,15,5
Member,Female,Dessert,8600,8,63000,5/5/2024,20:50,Transfer,10,5
Regular,Male,Dairy Product,31300,13,84000,5/5/2024,21:05,Cash,15,6
